Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Модель;Characteristics:Операционная система;Characteristics:Материал корпуса;Characteristics:Количество SIM-карт;Characteristics:Тип экрана;Characteristics:Диагональ;Characteristics:Размер изображения;Characteristics:Число пикселей на дюйм (PPI);Characteristics:Соотношение сторон;Characteristics:Тыловая камера;Characteristics:Тип корпуса;Characteristics:Тип дисплея;Characteristics:Яркость;Characteristics:Звук;Characteristics:Макс. время работы;Characteristics:Класс водонепроницаемости;Characteristics:Материал ремешка;Characteristics:Вид;Characteristics:Тип;Characteristics:Количество микрофонов;Characteristics:Вес наушника;Characteristics:Голосовой набор;Characteristics:Ответить/закончить разговор;Characteristics:Время работы;Characteristics:Материал;Characteristics:Активное шумоподавление;Characteristics:Особенности;Characteristics:Комплект поставки;Characteristics:Спецификации;Characteristics:Системные требования;Characteristics:Процессор;Characteristics:Экран;Characteristics:Разрешение;Characteristics:Число пикселей на дюйм;Characteristics:Bluetooth;Characteristics:Встроенные динамики;Characteristics:Технология дисплея;Characteristics:Full HD;Characteristics:Частота;Characteristics:Количество ядер;Characteristics:Объем видеопамяти;Characteristics:Количество Thunderbolt 3 (USB-C);Characteristics:Количество USB 3.0;Characteristics:Мощность;Characteristics:Количество режимов;Characteristics:Подробная комплектация;Characteristics:Максимальное разрешение;Characteristics:Тип процессора;Characteristics:Частота процессора;Characteristics:Дополнительная информация;Characteristics:Размер ремешка;Characteristics:Длина;Characteristics:Дисплей;Characteristics:Видеокарта;Characteristics:SIM-карта;Characteristics:SIM-карты;Characteristics:SIM-карт;Characteristics:Ёмкость аккумулятора;Characteristics:Тип уборки;Characteristics:Тип пылесборника;Characteristics:Объем пылесборника;Characteristics:Тип питания;Characteristics:Емкость аккумулятора в комплекте;Characteristics:Время работы от аккумулятора;Characteristics:Время зарядки аккумулятора;Characteristics:Потребляемая мощность;Characteristics:Мощность всасывания;Characteristics:Насадки в комплекте;Characteristics:Уровень шума;Characteristics:Фильтр тонкой очистки;Characteristics:Насадки;Characteristics:Минимальная частота;Characteristics:Максимальная частота;Characteristics:Суммарная мощность;Characteristics:Диаметр ВЧ-динамика;Characteristics:Количество полос АС;Characteristics:Беспроводные подключение;Characteristics:Питание;Characteristics:Стереосистема;Characteristics:Беспроводные подключения;Characteristics:Сабвуфер;Characteristics:Количество динамиков;Characteristics:ОС;Characteristics:Совместимость с ОС;Characteristics:Форма корпуса часов;Characteristics:Размер корпуса;Characteristics:Тип устройства;Characteristics:Тип акустического оформления;Characteristics:Тип крепления;Characteristics:Система активного шумоподавления;Characteristics:Тип подключения;Characteristics:Чувствительность;Characteristics:Минимальная воспроизводимая частота;Characteristics:Максимальная воспроизводимая частота;Characteristics:Импеданс (сопротивление);Characteristics:Микрофон;Characteristics:Встроенный микрофон;Characteristics:Количество фронтальных колонок;Characteristics:Количество тыловых колонок;Characteristics:Тип проводного соединения;Characteristics:Беспроводные интерфейсы;Characteristics:Входы;Characteristics:Выходы;Characteristics:Радио;Characteristics:Тип проводного подключения;Characteristics:Конструкция;Characteristics:Диаметр мембраны;Weight;Length;Width;Height;Unit;Portion

736121336431;;;;;Apple iPhone 12 Pro, 512 ГБ, Тихоокеанский синий, Америка- Тихоокеанский синий- 512- Америка;;;;0;123;;"Цвет:Тихоокеанский синий;Объем памяти:512;Регион поставки:Америка";;CU5o4duelzAMEJdIFers;801011996321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;

132975020691;;;;;Apple iPhone 12 Pro, 128 ГБ, Серебристый, Ростест / Белый- Белый- 128- Ростест;;;;0;123;;"Цвет:Белый;Объем памяти:128;Регион поставки:Ростест";;V70aINinCmXvmVDlbmoB;356236624541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;

283867460861;;;;;Apple iPhone 12 Pro, 256 ГБ, Серебристый, Ростест / Белый- Белый- 256- Ростест;;;;0;123;;"Цвет:Белый;Объем памяти:256;Регион поставки:Ростест";;YvLRvPhuF57cE96EmiR6;420289539321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;

835774695681;;;;;Apple iPhone 12 Pro, 512 ГБ, Серебристый, Ростест / Белый- Белый- 512- Ростест;;;;0;123;;"Цвет:Белый;Объем памяти:512;Регион поставки:Ростест";;DmE5oC0UX0pL5Y7IKZ36;104232926471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;

118687881761;;;;;Apple iPhone 12 Pro, 128 ГБ, Серебристый, Америка / Белый- Белый- 128- Америка;;;;0;123;;"Цвет:Белый;Объем памяти:128;Регион поставки:Америка";;OjSu8gZKSsRuV61le7dN;798769478231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;

911298624811;;;;;Apple iPhone 12 Pro, 256 ГБ, Серебристый, Америка / Белый- Белый- 256- Америка;;;;0;123;;"Цвет:Белый;Объем памяти:256;Регион поставки:Америка";;OaGJzaR2juBVFz7tVuVN;741083379931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;

